"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","521.0","3021.0","2395.0","242.0","3270.0","7099781.0","157066.0","60425.0"
"卸　売　業　計","90.0","511.0","384.0","41.0","554.0","3070740.0","21079.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","2.0","26.0","24.0","0.0","26.0","x","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","1.0","24.0","24.0","0.0","24.0","x","0.0","0.0"
"513_身の回り品卸売業","1.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"52_飲食料品卸売業","22.0","179.0","149.0","36.0","215.0","1182405.0","400.0","0.0"
"521_農畜産物・水産物卸売業","13.0","141.0","118.0","36.0","177.0","391071.0","400.0","0.0"
"522_食料・飲料卸売業","9.0","38.0","31.0","0.0","38.0","791334.0","0.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","20.0","93.0","66.0","0.0","93.0","377732.0","3.0","0.0"
"531_建築材料卸売業","13.0","55.0","38.0","0.0","55.0","290318.0","3.0","0.0"
"532_化学製品卸売業","3.0","20.0","16.0","0.0","20.0","x","0.0","0.0"
"533_石油・鉱物卸売業","1.0","10.0","10.0","0.0","10.0","x","0.0","0.0"
"534_鉄鋼製品卸売業","1.0","3.0","0.0","0.0","3.0","x","0.0","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","2.0","5.0","2.0","0.0","5.0","x","0.0","0.0"
"54_機械器具卸売業","23.0","87.0","62.0","1.0","89.0","453652.0","18178.0","0.0"
"541_産業機械器具卸売業","6.0","32.0","27.0","0.0","33.0","228558.0","14560.0","0.0"
"542_自動車卸売業","10.0","40.0","28.0","1.0","41.0","149489.0","3618.0","0.0"
"543_電気機械器具卸売業","6.0","14.0","7.0","0.0","14.0","x","0.0","0.0"
"549_その他の機械器具卸売業","1.0","1.0","0.0","0.0","1.0","x","0.0","0.0"
"55_その他の卸売業","23.0","126.0","83.0","4.0","131.0","x","2498.0","0.0"
"551_家具・建具・じゅう器等卸売業","3.0","7.0","2.0","0.0","7.0","6742.0","0.0","0.0"
"552_医薬品・化粧品等卸売業","5.0","47.0","46.0","0.0","48.0","749504.0","0.0","0.0"
"553_紙・紙製品卸売業","1.0","1.0","0.0","0.0","1.0","x","0.0","0.0"
"559_他に分類されない卸売業","14.0","71.0","35.0","4.0","75.0","204092.0","2498.0","0.0"
"小売業計_","431.0","2510.0","2011.0","201.0","2716.0","4029041.0","135987.0","60425.0"
"56_各種商品小売業","3.0","84.0","81.0","1.0","85.0","74329.0","441.0","x"
"561_百貨店，総合スーパー","1.0","78.0","78.0","0.0","78.0","x","x","x"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","2.0","6.0","3.0","1.0","7.0","x","x","x"
"57_織物・衣服・身の回り品小売業","41.0","161.0","124.0","2.0","163.0","172828.0","31.0","9709.0"
"571_呉服・服地・寝具小売業","6.0","9.0","1.0","0.0","9.0","2904.0","0.0","420.0"
"572_男子服小売業","6.0","25.0","19.0","0.0","25.0","22386.0","0.0","1330.0"
"573_婦人・子供服小売業","13.0","46.0","36.0","0.0","46.0","64108.0","31.0","3307.0"
"574_靴・履物小売業","5.0","13.0","9.0","2.0","15.0","21402.0","0.0","715.0"
"579_その他の織物・衣服・身の回り品小売業","11.0","68.0","59.0","0.0","68.0","62028.0","0.0","3937.0"
"58_飲食料品小売業","126.0","1052.0","896.0","78.0","1130.0","1636276.0","8475.0","20181.0"
"581_各種食料品小売業","19.0","533.0","517.0","9.0","542.0","1007756.0","503.0","12776.0"
"582_野菜・果実小売業","13.0","102.0","79.0","47.0","149.0","225362.0","5565.0","2728.0"
"583_食肉小売業","11.0","24.0","8.0","0.0","24.0","17863.0","0.0","429.0"
"584_鮮魚小売業","3.0","10.0","6.0","0.0","10.0","21700.0","0.0","123.0"
"585_酒小売業","15.0","29.0","9.0","2.0","31.0","28183.0","270.0","678.0"
"586_菓子・パン小売業","16.0","55.0","38.0","0.0","55.0","14075.0","0.0","633.0"
"589_その他の飲食料品小売業","49.0","299.0","239.0","20.0","319.0","321337.0","2137.0","2814.0"
"59_機械器具小売業","45.0","200.0","141.0","6.0","206.0","353838.0","71292.0","2595.0"
"591_自動車小売業","33.0","166.0","126.0","3.0","169.0","300972.0","70479.0","2005.0"
"592_自転車小売業","1.0","4.0","4.0","0.0","4.0","x","0.0","x"
"593_機械器具小売業（自動車，自転車を除く）","11.0","30.0","11.0","3.0","33.0","x","813.0","x"
"60_その他の小売業","211.0","1007.0","769.0","94.0","1106.0","x","55748.0","x"
"601_家具・建具・畳小売業","11.0","29.0","15.0","1.0","30.0","12084.0","0.0","1080.0"
"602_じゅう器小売業","4.0","8.0","1.0","0.0","8.0","3097.0","11.0","324.0"
"603_医薬品・化粧品小売業","42.0","190.0","156.0","5.0","195.0","341719.0","144.0","3241.0"
"604_農耕用品小売業","34.0","194.0","158.0","6.0","200.0","441851.0","3970.0","2010.0"
"605_燃料小売業","33.0","149.0","104.0","12.0","166.0","564628.0","46615.0","485.0"
"606_書籍・文房具小売業","20.0","217.0","189.0","1.0","218.0","100270.0","2817.0","1451.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","7.0","12.0","1.0","0.0","12.0","5750.0","0.0","429.0"
"608_写真機・時計・眼鏡小売業","12.0","24.0","12.0","1.0","25.0","19862.0","282.0","569.0"
"609_他に分類されない小売業","48.0","184.0","133.0","68.0","252.0","x","1909.0","x"
"61_無店舗小売業","5.0","6.0","0.0","20.0","26.0","x","0.0","0.0"
"611_通信販売・訪問販売小売業","3.0","4.0","0.0","20.0","24.0","x","0.0","0.0"
"612_自動販売機による小売業","2.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
