"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","1137.0","5902.0","4584.0","278.0","6200.0","17958455.0","452346.0","94454.0"
"卸　売　業　計","251.0","1584.0","1301.0","32.0","1622.0","9619311.0","109453.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","3.0","7.0","1.0","2.0","9.0","2618.0","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"513_身の回り品卸売業","3.0","7.0","1.0","2.0","9.0","2618.0","0.0","0.0"
"52_飲食料品卸売業","87.0","718.0","602.0","20.0","740.0","3333229.0","15065.0","0.0"
"521_農畜産物・水産物卸売業","43.0","418.0","348.0","18.0","436.0","2308642.0","1941.0","0.0"
"522_食料・飲料卸売業","44.0","300.0","254.0","2.0","304.0","1024587.0","13124.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","52.0","292.0","227.0","5.0","297.0","1679793.0","14805.0","0.0"
"531_建築材料卸売業","30.0","168.0","134.0","3.0","171.0","1121954.0","13622.0","0.0"
"532_化学製品卸売業","12.0","85.0","65.0","2.0","87.0","443605.0","0.0","0.0"
"533_石油・鉱物卸売業","2.0","8.0","8.0","0.0","8.0","x","x","0.0"
"534_鉄鋼製品卸売業","2.0","10.0","5.0","0.0","10.0","x","0.0","0.0"
"535_非鉄金属卸売業","2.0","11.0","11.0","0.0","11.0","x","x","0.0"
"536_再生資源卸売業","4.0","10.0","4.0","0.0","10.0","9341.0","200.0","0.0"
"54_機械器具卸売業","56.0","321.0","281.0","1.0","325.0","1649474.0","62546.0","0.0"
"541_産業機械器具卸売業","16.0","62.0","47.0","1.0","64.0","193944.0","18828.0","0.0"
"542_自動車卸売業","21.0","128.0","107.0","0.0","128.0","532486.0","20622.0","0.0"
"543_電気機械器具卸売業","13.0","78.0","74.0","0.0","80.0","461189.0","10517.0","0.0"
"549_その他の機械器具卸売業","6.0","53.0","53.0","0.0","53.0","461855.0","12579.0","0.0"
"55_その他の卸売業","53.0","246.0","190.0","4.0","251.0","2954197.0","17037.0","0.0"
"551_家具・建具・じゅう器等卸売業","4.0","15.0","12.0","1.0","16.0","47165.0","0.0","0.0"
"552_医薬品・化粧品等卸売業","10.0","61.0","55.0","1.0","63.0","1083766.0","26.0","0.0"
"553_紙・紙製品卸売業","5.0","19.0","12.0","0.0","19.0","36568.0","0.0","0.0"
"559_他に分類されない卸売業","34.0","151.0","111.0","2.0","153.0","1786698.0","17011.0","0.0"
"小売業計_","886.0","4318.0","3283.0","246.0","4578.0","8339144.0","342893.0","94454.0"
"56_各種商品小売業","3.0","327.0","326.0","6.0","333.0","574016.0","0.0","15907.0"
"561_百貨店，総合スーパー","2.0","317.0","317.0","6.0","323.0","x","0.0","x"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","1.0","10.0","9.0","0.0","10.0","x","0.0","x"
"57_織物・衣服・身の回り品小売業","133.0","440.0","313.0","12.0","452.0","577001.0","453.0","15778.0"
