"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","3211.0","23577.0","19858.0","912.0","25121.0","9.1218553E7","2316780.0","409186.0"
"卸　売　業　計","820.0","6889.0","5765.0","124.0","7553.0","5.5171253E7","805599.0","0.0"
"50_各種商品卸売業","1.0","3.0","2.0","0.0","3.0","x","0.0","0.0"
"501_各種商品卸売業","1.0","3.0","2.0","0.0","3.0","x","0.0","0.0"
"51_繊維・衣服等卸売業","39.0","227.0","168.0","2.0","226.0","639086.0","11.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","7.0","32.0","21.0","1.0","33.0","66067.0","0.0","0.0"
"512_衣服卸売業","13.0","67.0","45.0","0.0","67.0","149127.0","11.0","0.0"
"513_身の回り品卸売業","19.0","128.0","102.0","1.0","126.0","423892.0","0.0","0.0"
"52_飲食料品卸売業","201.0","2215.0","1904.0","45.0","2731.0","1.3908037E7","111498.0","0.0"
"521_農畜産物・水産物卸売業","120.0","1443.0","1247.0","40.0","1493.0","8461542.0","25785.0","0.0"
"522_食料・飲料卸売業","81.0","772.0","657.0","5.0","1238.0","5446495.0","85713.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","201.0","1253.0","948.0","28.0","1300.0","1.2713589E7","207137.0","0.0"
"531_建築材料卸売業","93.0","626.0","493.0","4.0","644.0","5274283.0","115786.0","0.0"
"532_化学製品卸売業","55.0","310.0","228.0","5.0","317.0","2982406.0","46630.0","0.0"
"533_石油・鉱物卸売業","19.0","110.0","79.0","2.0","114.0","3336955.0","16067.0","0.0"
"534_鉄鋼製品卸売業","22.0","138.0","105.0","0.0","139.0","915139.0","27324.0","0.0"
"535_非鉄金属卸売業","3.0","15.0","7.0","1.0","16.0","x","x","0.0"
"536_再生資源卸売業","9.0","54.0","36.0","16.0","70.0","x","x","0.0"
"54_機械器具卸売業","181.0","1502.0","1334.0","29.0","1565.0","1.1156227E7","399093.0","0.0"
"541_産業機械器具卸売業","68.0","414.0","350.0","22.0","444.0","2338657.0","145847.0","0.0"
"542_自動車卸売業","39.0","397.0","355.0","1.0","409.0","1889375.0","88782.0","0.0"
"543_電気機械器具卸売業","42.0","362.0","321.0","2.0","373.0","3802368.0","120043.0","0.0"
"549_その他の機械器具卸売業","32.0","329.0","308.0","4.0","339.0","3125827.0","44421.0","0.0"
"55_その他の卸売業","197.0","1689.0","1409.0","20.0","1728.0","x","87860.0","0.0"
"551_家具・建具・じゅう器等卸売業","35.0","245.0","199.0","1.0","253.0","897851.0","30213.0","0.0"
