"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","69.0","318.0","219.0","32.0","350.0","572861.0","42730.0","9591.0"
"卸　売　業　計","20.0","78.0","55.0","11.0","89.0","286208.0","21939.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"513_身の回り品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52_飲食料品卸売業","8.0","32.0","23.0","9.0","41.0","89502.0","0.0","0.0"
"521_農畜産物・水産物卸売業","5.0","17.0","10.0","9.0","26.0","35158.0","0.0","0.0"
"522_食料・飲料卸売業","3.0","15.0","13.0","0.0","15.0","54344.0","0.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","3.0","6.0","3.0","0.0","6.0","13859.0","0.0","0.0"
"531_建築材料卸売業","2.0","4.0","1.0","0.0","4.0","x","0.0","0.0"
"532_化学製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"533_石油・鉱物卸売業","1.0","2.0","2.0","0.0","2.0","x","0.0","0.0"
"534_鉄鋼製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"54_機械器具卸売業","1.0","5.0","2.0","0.0","5.0","x","0.0","0.0"
"541_産業機械器具卸売業","1.0","5.0","2.0","0.0","5.0","x","0.0","0.0"
"542_自動車卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"543_電気機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"549_その他の機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55_その他の卸売業","8.0","35.0","27.0","2.0","37.0","x","21939.0","0.0"
"551_家具・建具・じゅう器等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"552_医薬品・化粧品等卸売業","2.0","4.0","2.0","0.0","4.0","x","0.0","0.0"
"553_紙・紙製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"559_他に分類されない卸売業","6.0","31.0","25.0","2.0","33.0","169091.0","21939.0","0.0"
"小売業計_","49.0","240.0","164.0","21.0","261.0","286653.0","20791.0","9591.0"
"56_各種商品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"561_百貨店，総合スーパー","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"57_織物・衣服・身の回り品小売業","1.0","6.0","4.0","0.0","6.0","x","0.0","x"
"571_呉服・服地・寝具小売業","1.0","6.0","4.0","0.0","6.0","x","0.0","x"
"572_男子服小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"573_婦人・子供服小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"574_靴・履物小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"579_その他の織物・衣服・身の回り品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"58_飲食料品小売業","20.0","134.0","96.0","12.0","146.0","137569.0","6044.0","7114.0"
"581_各種食料品小売業","1.0","27.0","27.0","8.0","35.0","x","x","x"
"582_野菜・果実小売業","1.0","3.0","3.0","2.0","5.0","x","x","x"
"583_食肉小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"584_鮮魚小売業","3.0","32.0","20.0","0.0","32.0","4348.0","0.0","85.0"
"585_酒小売業","2.0","4.0","2.0","1.0","5.0","x","0.0","x"
"586_菓子・パン小売業","1.0","2.0","0.0","0.0","2.0","x","x","x"
"589_その他の飲食料品小売業","12.0","66.0","44.0","1.0","67.0","43355.0","4369.0","6157.0"
"59_機械器具小売業","9.0","38.0","25.0","0.0","38.0","18014.0","13868.0","231.0"
"591_自動車小売業","5.0","22.0","14.0","0.0","22.0","11914.0","12219.0","0.0"
"592_自転車小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"593_機械器具小売業（自動車，自転車を除く）","4.0","16.0","11.0","0.0","16.0","6100.0","1649.0","231.0"
"60_その他の小売業","16.0","49.0","28.0","9.0","58.0","x","879.0","x"
"601_家具・建具・畳小売業","3.0","4.0","0.0","0.0","4.0","1669.0","0.0","0.0"
"602_じゅう器小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"603_医薬品・化粧品小売業","1.0","3.0","0.0","0.0","3.0","x","0.0","x"
"604_農耕用品小売業","1.0","4.0","3.0","0.0","4.0","x","x","x"
"605_燃料小売業","2.0","7.0","5.0","0.0","7.0","x","0.0","0.0"
"606_書籍・文房具小売業","1.0","13.0","12.0","0.0","13.0","x","x","0.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","1.0","2.0","1.0","0.0","2.0","x","x","x"
"608_写真機・時計・眼鏡小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"609_他に分類されない小売業","7.0","16.0","7.0","9.0","25.0","18633.0","0.0","1567.0"
"61_無店舗小売業","3.0","13.0","11.0","0.0","13.0","75704.0","0.0","0.0"
"611_通信販売・訪問販売小売業","2.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"612_自動販売機による小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"619_その他の無店舗小売業","1.0","11.0","11.0","0.0","11.0","x","0.0","0.0"
