"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","183.0","862.0","631.0","24.0","894.0","1833891.0","46707.0","19206.0"
"卸　売　業　計","25.0","157.0","121.0","3.0","161.0","743651.0","1212.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","3.0","5.0","0.0","0.0","5.0","1367.0","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","1.0","1.0","0.0","0.0","1.0","x","0.0","0.0"
"512_衣服卸売業","1.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"513_身の回り品卸売業","1.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"52_飲食料品卸売業","6.0","26.0","18.0","2.0","28.0","107815.0","0.0","0.0"
"521_農畜産物・水産物卸売業","4.0","16.0","10.0","2.0","18.0","x","0.0","0.0"
"522_食料・飲料卸売業","2.0","10.0","8.0","0.0","10.0","x","0.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","5.0","27.0","19.0","0.0","27.0","80158.0","33.0","0.0"
"531_建築材料卸売業","3.0","21.0","16.0","0.0","21.0","x","33.0","0.0"
"532_化学製品卸売業","1.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"533_石油・鉱物卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"534_鉄鋼製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","1.0","4.0","3.0","0.0","4.0","x","0.0","0.0"
"54_機械器具卸売業","4.0","25.0","22.0","0.0","26.0","157835.0","0.0","0.0"
"541_産業機械器具卸売業","2.0","6.0","3.0","0.0","6.0","x","0.0","0.0"
"542_自動車卸売業","1.0","14.0","14.0","0.0","15.0","x","0.0","0.0"
"543_電気機械器具卸売業","1.0","5.0","5.0","0.0","5.0","x","0.0","0.0"
"549_その他の機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55_その他の卸売業","7.0","74.0","62.0","1.0","75.0","396476.0","1179.0","0.0"
"551_家具・建具・じゅう器等卸売業","1.0","6.0","4.0","0.0","6.0","x","0.0","0.0"
