"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","189.0","967.0","733.0","68.0","1051.0","2004096.0","64899.0","17173.0"
"卸　売　業　計","20.0","118.0","87.0","2.0","136.0","580383.0","42501.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"513_身の回り品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52_飲食料品卸売業","13.0","85.0","67.0","2.0","87.0","250781.0","272.0","0.0"
"521_農畜産物・水産物卸売業","8.0","49.0","42.0","1.0","50.0","177428.0","272.0","0.0"
"522_食料・飲料卸売業","5.0","36.0","25.0","1.0","37.0","73353.0","0.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","1.0","9.0","9.0","0.0","9.0","x","0.0","0.0"
"531_建築材料卸売業","1.0","9.0","9.0","0.0","9.0","x","0.0","0.0"
"532_化学製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"533_石油・鉱物卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"534_鉄鋼製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"54_機械器具卸売業","1.0","4.0","1.0","0.0","4.0","x","0.0","0.0"
"541_産業機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"542_自動車卸売業","1.0","4.0","1.0","0.0","4.0","x","0.0","0.0"
"543_電気機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"549_その他の機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55_その他の卸売業","5.0","20.0","10.0","0.0","36.0","x","42229.0","0.0"
"551_家具・建具・じゅう器等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"552_医薬品・化粧品等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"553_紙・紙製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"559_他に分類されない卸売業","5.0","20.0","10.0","0.0","36.0","x","42229.0","0.0"
"小売業計_","169.0","849.0","646.0","66.0","915.0","1423713.0","22398.0","17173.0"
"56_各種商品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
