"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","333.0","2790.0","2459.0","83.0","2884.0","5947369.0","272428.0","72373.0"
"卸　売　業　計","38.0","205.0","158.0","4.0","213.0","965769.0","91641.0","0.0"
"50_各種商品卸売業","2.0","4.0","2.0","0.0","4.0","x","x","0.0"
"501_各種商品卸売業","2.0","4.0","2.0","0.0","4.0","x","x","0.0"
"51_繊維・衣服等卸売業","1.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","1.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"513_身の回り品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52_飲食料品卸売業","6.0","58.0","49.0","0.0","58.0","256931.0","0.0","0.0"
"521_農畜産物・水産物卸売業","4.0","27.0","20.0","0.0","27.0","x","0.0","0.0"
"522_食料・飲料卸売業","2.0","31.0","29.0","0.0","31.0","x","0.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","11.0","60.0","52.0","0.0","64.0","507130.0","90672.0","0.0"
"531_建築材料卸売業","5.0","20.0","16.0","0.0","20.0","249912.0","90027.0","0.0"
"532_化学製品卸売業","1.0","3.0","2.0","0.0","3.0","x","x","0.0"
"533_石油・鉱物卸売業","1.0","2.0","1.0","0.0","2.0","x","x","0.0"
"534_鉄鋼製品卸売業","3.0","6.0","6.0","0.0","10.0","150806.0","0.0","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","1.0","29.0","27.0","0.0","29.0","x","x","0.0"
"54_機械器具卸売業","8.0","42.0","34.0","1.0","43.0","140051.0","220.0","0.0"
"541_産業機械器具卸売業","2.0","10.0","8.0","0.0","10.0","x","0.0","0.0"
"542_自動車卸売業","4.0","23.0","18.0","1.0","24.0","x","220.0","0.0"
"543_電気機械器具卸売業","2.0","9.0","8.0","0.0","9.0","x","0.0","0.0"
"549_その他の機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55_その他の卸売業","10.0","39.0","21.0","3.0","42.0","56125.0","x","0.0"
"551_家具・建具・じゅう器等卸売業","2.0","6.0","2.0","1.0","7.0","x","0.0","0.0"
"552_医薬品・化粧品等卸売業","5.0","17.0","10.0","2.0","19.0","x","0.0","0.0"
"553_紙・紙製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"559_他に分類されない卸売業","3.0","16.0","9.0","0.0","16.0","x","x","0.0"
"小売業計_","295.0","2585.0","2301.0","79.0","2671.0","4981600.0","180787.0","72373.0"
"56_各種商品小売業","1.0","172.0","172.0","7.0","179.0","x","0.0","x"
"561_百貨店，総合スーパー","1.0","172.0","172.0","7.0","179.0","x","0.0","x"
