"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","444.0","2419.0","1845.0","111.0","2536.0","5587348.0","203159.0","53708.0"
"卸　売　業　計","72.0","469.0","383.0","3.0","479.0","2453563.0","80057.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","1.0","9.0","7.0","0.0","9.0","x","x","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"513_身の回り品卸売業","1.0","9.0","7.0","0.0","9.0","x","x","0.0"
"52_飲食料品卸売業","24.0","179.0","146.0","0.0","179.0","884003.0","1227.0","0.0"
"521_農畜産物・水産物卸売業","15.0","156.0","137.0","0.0","156.0","870991.0","1227.0","0.0"
"522_食料・飲料卸売業","9.0","23.0","9.0","0.0","23.0","13012.0","0.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","19.0","98.0","74.0","3.0","108.0","477657.0","8841.0","0.0"
"531_建築材料卸売業","10.0","47.0","36.0","1.0","53.0","291172.0","8704.0","0.0"
"532_化学製品卸売業","3.0","19.0","14.0","0.0","19.0","86760.0","32.0","0.0"
"533_石油・鉱物卸売業","2.0","19.0","17.0","0.0","21.0","x","x","0.0"
"534_鉄鋼製品卸売業","2.0","8.0","5.0","2.0","10.0","x","x","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","2.0","5.0","2.0","0.0","5.0","x","0.0","0.0"
"54_機械器具卸売業","8.0","39.0","33.0","0.0","39.0","193449.0","120.0","0.0"
"541_産業機械器具卸売業","1.0","10.0","9.0","0.0","10.0","x","0.0","0.0"
"542_自動車卸売業","4.0","12.0","9.0","0.0","12.0","43267.0","0.0","0.0"
"543_電気機械器具卸売業","2.0","15.0","15.0","0.0","15.0","x","x","0.0"
"549_その他の機械器具卸売業","1.0","2.0","0.0","0.0","2.0","x","x","0.0"
"55_その他の卸売業","20.0","144.0","123.0","0.0","144.0","x","x","0.0"
"551_家具・建具・じゅう器等卸売業","2.0","18.0","15.0","0.0","18.0","x","0.0","0.0"
"552_医薬品・化粧品等卸売業","7.0","30.0","22.0","0.0","30.0","241201.0","1120.0","0.0"
"553_紙・紙製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
